fueltype;aspiration;doornumber;drivewheel;enginelocation;cylindernumber;horsepower;peakrpm;price
gas;std;two;rwd;front;four;111;5000;13495
gas;std;two;rwd;front;four;111;5000;16500
gas;std;two;rwd;front;six;154;5000;16500
gas;std;four;fwd;front;four;102;5500;13950
gas;std;four;4wd;front;five;115;5500;17450
gas;std;two;fwd;front;five;110;5500;15250
gas;std;four;fwd;front;five;110;5500;17710
gas;std;four;fwd;front;five;110;5500;18920
gas;turbo;four;fwd;front;five;140;5500;23875
gas;turbo;two;4wd;front;five;160;5500;17859
gas;std;two;rwd;front;four;101;5800;16430
gas;std;four;rwd;front;four;101;5800;16925
gas;std;two;rwd;front;six;121;4250;20970
gas;std;four;rwd;front;six;121;4250;21105
gas;std;four;rwd;front;six;121;4250;24565
gas;std;four;rwd;front;six;182;5400;30760
gas;std;two;rwd;front;six;182;5400;41315
gas;std;four;rwd;front;six;182;5400;36880
gas;std;two;fwd;front;three;48;5100;5151
gas;std;two;fwd;front;four;70;5400;6295
gas;std;four;fwd;front;four;70;5400;6575
gas;std;two;fwd;front;four;68;5500;5572
gas;std;two;fwd;front;four;68;5500;6377
gas;turbo;two;fwd;front;four;102;5500;7957
gas;std;four;fwd;front;four;68;5500;6229
gas;std;four;fwd;front;four;68;5500;6692
gas;std;four;fwd;front;four;68;5500;7609
gas;turbo;two;fwd;front;four;102;5500;8558
gas;std;four;fwd;front;four;88;5000;8921
gas;turbo;two;fwd;front;four;145;5000;12964
gas;std;two;fwd;front;four;58;4800;6479
gas;std;two;fwd;front;four;76;6000;6855
gas;std;two;fwd;front;four;60;5500;5399
gas;std;two;fwd;front;four;76;6000;6529
gas;std;two;fwd;front;four;76;6000;7129
gas;std;four;fwd;front;four;76;6000;7295
gas;std;four;fwd;front;four;76;6000;7295
gas;std;two;fwd;front;four;86;5800;7895
gas;std;two;fwd;front;four;86;5800;9095
gas;std;four;fwd;front;four;86;5800;8845
gas;std;four;fwd;front;four;86;5800;10295
gas;std;four;fwd;front;four;101;5800;12945
gas;std;two;fwd;front;four;100;5500;10345
gas;std;four;rwd;front;four;78;4800;6785
gas;std;two;fwd;front;four;70;5400;8916
gas;std;four;fwd;front;four;70;5400;8916
gas;std;two;rwd;front;four;90;5000;11048
gas;std;four;rwd;front;six;176;4750;32250
gas;std;four;rwd;front;six;176;4750;35550
gas;std;two;rwd;front;twelve;262;5000;36000
gas;std;two;fwd;front;four;68;5000;5195
gas;std;two;fwd;front;four;68;5000;6095
gas;std;two;fwd;front;four;68;5000;6795
gas;std;four;fwd;front;four;68;5000;6695
gas;std;four;fwd;front;four;68;5000;7395
gas;std;two;rwd;front;two;101;6000;10945
gas;std;two;rwd;front;two;101;6000;11845
gas;std;two;rwd;front;two;101;6000;13645
gas;std;two;rwd;front;two;135;6000;15645
gas;std;two;fwd;front;four;84;4800;8845
gas;std;four;fwd;front;four;84;4800;8495
gas;std;two;fwd;front;four;84;4800;10595
gas;std;four;fwd;front;four;84;4800;10245
diesel;std;four;fwd;front;four;64;4650;10795
gas;std;four;fwd;front;four;84;4800;11245
gas;std;four;rwd;front;four;120;5000;18280
diesel;std;four;rwd;front;four;72;4200;18344
diesel;turbo;four;rwd;front;five;123;4350;25552
diesel;turbo;four;rwd;front;five;123;4350;28248
diesel;turbo;two;rwd;front;five;123;4350;28176
diesel;turbo;four;rwd;front;five;123;4350;31600
gas;std;four;rwd;front;eight;155;4750;34184
gas;std;two;rwd;front;eight;155;4750;35056
gas;std;four;rwd;front;eight;184;4500;40960
gas;std;two;rwd;front;eight;184;4500;45400
gas;turbo;two;rwd;front;four;175;5000;16503
gas;std;two;fwd;front;four;68;5500;5389
gas;std;two;fwd;front;four;68;5500;6189
gas;std;two;fwd;front;four;68;5500;6669
gas;turbo;two;fwd;front;four;102;5500;7689
gas;turbo;two;fwd;front;four;116;5500;9959
gas;std;two;fwd;front;four;88;5000;8499
gas;turbo;two;fwd;front;four;145;5000;12629
gas;turbo;two;fwd;front;four;145;5000;14869
gas;turbo;two;fwd;front;four;145;5000;14489
gas;std;four;fwd;front;four;88;5000;6989
gas;std;four;fwd;front;four;88;5000;8189
gas;turbo;four;fwd;front;four;116;5500;9279
gas;std;four;fwd;front;four;116;5500;9279
gas;std;two;fwd;front;four;69;5200;5499
diesel;std;two;fwd;front;four;55;4800;7099
gas;std;two;fwd;front;four;69;5200;6649
gas;std;four;fwd;front;four;69;5200;6849
gas;std;four;fwd;front;four;69;5200;7349
gas;std;two;fwd;front;four;69;5200;7299
gas;std;two;fwd;front;four;69;5200;7799
gas;std;four;fwd;front;four;69;5200;7499
gas;std;four;fwd;front;four;69;5200;7999
gas;std;two;fwd;front;four;69;5200;8249
gas;std;four;fwd;front;four;97;5200;8949
gas;std;four;fwd;front;four;97;5200;9549
gas;std;four;fwd;front;six;152;5200;13499
gas;std;four;fwd;front;six;152;5200;14399
gas;std;four;fwd;front;six;152;5200;13499
gas;std;two;rwd;front;six;160;5200;17199
gas;turbo;two;rwd;front;six;200;5200;19699
gas;std;two;rwd;front;six;160;5200;18399
gas;std;four;rwd;front;four;97;5000;11900
diesel;turbo;four;rwd;front;four;95;4150;13200
gas;std;four;rwd;front;four;97;5000;12440
diesel;turbo;four;rwd;front;four;95;4150;13860
gas;std;four;rwd;front;four;95;5000;15580
diesel;turbo;four;rwd;front;four;95;4150;16900
gas;std;four;rwd;front;four;95;5000;16695
diesel;turbo;four;rwd;front;four;95;4150;17075
gas;std;four;rwd;front;four;97;5000;16630
diesel;turbo;four;rwd;front;four;95;4150;17950
gas;turbo;four;rwd;front;four;142;5600;18150
gas;std;two;fwd;front;four;68;5500;5572
gas;turbo;two;fwd;front;four;102;5500;7957
gas;std;four;fwd;front;four;68;5500;6229
gas;std;four;fwd;front;four;68;5500;6692
gas;std;four;fwd;front;four;68;5500;7609
gas;std;four;fwd;front;four;88;5000;8921
gas;turbo;two;rwd;front;four;145;5000;12764
gas;std;two;rwd;front;four;143;5500;22018
gas;std;two;rwd;rear;six;207;5900;32528
gas;std;two;rwd;rear;six;207;5900;34028
gas;std;two;rwd;rear;six;207;5900;37028
gas;std;two;rwd;front;eight;288;5750;31400
gas;std;four;fwd;front;four;90;5100;9295
gas;std;two;fwd;front;four;90;5100;9895
gas;std;two;fwd;front;four;110;5250;11850
gas;std;four;fwd;front;four;110;5250;12170
gas;std;two;fwd;front;four;110;5250;15040
gas;std;four;fwd;front;four;110;5250;15510
gas;turbo;two;fwd;front;four;160;5500;18150
gas;turbo;four;fwd;front;four;160;5500;18620
gas;std;two;fwd;front;four;69;4900;5118
gas;std;two;fwd;front;four;73;4400;7053
gas;std;two;4wd;front;four;73;4400;7603
gas;std;four;fwd;front;four;82;4800;7126
gas;std;four;fwd;front;four;82;4400;7775
gas;std;four;fwd;front;four;94;5200;9960
gas;std;four;4wd;front;four;82;4800;9233
gas;turbo;four;4wd;front;four;111;4800;11259
gas;std;four;fwd;front;four;82;4800;7463
gas;std;four;fwd;front;four;94;5200;10198
gas;std;four;4wd;front;four;82;4800;8013
gas;turbo;four;4wd;front;four;111;4800;11694
gas;std;two;fwd;front;four;62;4800;5348
gas;std;two;fwd;front;four;62;4800;6338
gas;std;four;fwd;front;four;62;4800;6488
gas;std;four;fwd;front;four;62;4800;6918
gas;std;four;4wd;front;four;62;4800;7898
gas;std;four;4wd;front;four;62;4800;8778
gas;std;four;fwd;front;four;70;4800;6938
gas;std;four;fwd;front;four;70;4800;7198
diesel;std;four;fwd;front;four;56;4500;7898
diesel;std;four;fwd;front;four;56;4500;7788
gas;std;four;fwd;front;four;70;4800;7738
gas;std;four;fwd;front;four;70;4800;8358
gas;std;four;fwd;front;four;70;4800;9258
gas;std;two;rwd;front;four;70;4800;8058
gas;std;two;rwd;front;four;70;4800;8238
gas;std;two;rwd;front;four;112;6600;9298
gas;std;two;rwd;front;four;112;6600;9538
gas;std;two;rwd;front;four;116;4800;8449
gas;std;two;rwd;front;four;116;4800;9639
gas;std;two;rwd;front;four;116;4800;9989
gas;std;two;rwd;front;four;116;4800;11199
gas;std;two;rwd;front;four;116;4800;11549
gas;std;two;rwd;front;four;116;4800;17669
gas;std;four;fwd;front;four;92;4200;8948
diesel;turbo;four;fwd;front;four;73;4500;10698
gas;std;four;fwd;front;four;92;4200;9988
gas;std;four;fwd;front;four;92;4200;10898
gas;std;four;fwd;front;four;92;4200;11248
gas;std;two;rwd;front;six;161;5200;16558
gas;std;two;rwd;front;six;161;5200;15998
gas;std;four;rwd;front;six;156;5200;15690
gas;std;four;rwd;front;six;156;5200;15750
diesel;std;two;fwd;front;four;52;4800;7775
gas;std;two;fwd;front;four;85;5250;7975
diesel;std;four;fwd;front;four;52;4800;7995
gas;std;four;fwd;front;four;85;5250;8195
gas;std;four;fwd;front;four;85;5250;8495
diesel;turbo;four;fwd;front;four;68;4500;9495
gas;std;four;fwd;front;four;100;5500;9995
gas;std;two;fwd;front;four;90;5500;11595
gas;std;two;fwd;front;four;90;5500;9980
gas;std;four;fwd;front;five;110;5500;13295
diesel;turbo;four;fwd;front;four;68;4500;13845
gas;std;four;fwd;front;four;88;5500;12290
gas;std;four;rwd;front;four;114;5400;12940
gas;std;four;rwd;front;four;114;5400;13415
gas;std;four;rwd;front;four;114;5400;15985
gas;std;four;rwd;front;four;114;5400;16515
gas;turbo;four;rwd;front;four;162;5100;18420
gas;turbo;four;rwd;front;four;162;5100;18950
gas;std;four;rwd;front;four;114;5400;16845
gas;turbo;four;rwd;front;four;160;5300;19045
gas;std;four;rwd;front;six;134;5500;21485
diesel;turbo;four;rwd;front;six;106;4800;22470
gas;turbo;four;rwd;front;four;114;5400;22625
